,product_id_x,product_category,product_name,product_price,scrapy_datetime,style_id,color_id,product_id_y,color_name,color_id_x,Size,Fit,Composition,More sustainable materials,Art. No.,color_id_y,Product safety
26,1008549001,men_jeans_regular,Regular Jeans,$ 19.99,2022-02-05 11:58:59,1008549,001,1008549008,Light denim blue,008,"The model is 180cm/5'11"" and wears a size 31/32",Regular fit,"Shell: Cotton 99%, Spandex 1%",Recycled cotton 20%,1008549004,004,
27,1008549001,men_jeans_regular,Regular Jeans,$ 19.99,2022-02-05 11:58:59,1008549,001,1008549008,Light denim blue,008,"The model is 180cm/5'11"" and wears a size 31/32",Regular fit,"Pocket lining: Polyester 63%, Cotton 37%",Recycled cotton 20%,1008549004,004,
28,1008549001,men_jeans_regular,Regular Jeans,$ 19.99,2022-02-05 11:58:59,1008549,001,1008549001,Light denim blue,001,"The model is 188cm/6'2"" and wears a size 31/30",Regular fit,Pocket: Cotton 100%,Recycled cotton 20%,1008549006,006,
29,1008549001,men_jeans_regular,Regular Jeans,$ 19.99,2022-02-05 11:58:59,1008549,001,1008549001,Light denim blue,001,"The model is 188cm/6'2"" and wears a size 31/30",Regular fit,"Shell: Cotton 99%, Spandex 1%",Recycled cotton 20%,1008549006,006,
30,1008549001,men_jeans_regular,Regular Jeans,$ 19.99,2022-02-05 11:58:59,1008549,001,1008549002,Denim blue,002,"The model is 188cm/6'2"" and wears a size 31/30",Regular fit,Pocket: Cotton 100%,Recycled cotton 20%,1008549006,006,
31,1008549001,men_jeans_regular,Regular Jeans,$ 19.99,2022-02-05 11:58:59,1008549,001,1008549002,Denim blue,002,"The model is 188cm/6'2"" and wears a size 31/30",Regular fit,"Shell: Cotton 99%, Spandex 1%",Recycled cotton 20%,1008549006,006,
32,1008549001,men_jeans_regular,Regular Jeans,$ 19.99,2022-02-05 11:58:59,1008549,001,1008549004,Dark blue,004,"The model is 188cm/6'2"" and wears a size 31/30",Regular fit,Pocket: Cotton 100%,Recycled cotton 20%,1008549006,006,
33,1008549001,men_jeans_regular,Regular Jeans,$ 19.99,2022-02-05 11:58:59,1008549,001,1008549004,Dark blue,004,"The model is 188cm/6'2"" and wears a size 31/30",Regular fit,"Shell: Cotton 99%, Spandex 1%",Recycled cotton 20%,1008549006,006,
34,1008549001,men_jeans_regular,Regular Jeans,$ 19.99,2022-02-05 11:58:59,1008549,001,1008549008,Light denim blue,008,"The model is 188cm/6'2"" and wears a size 31/30",Regular fit,Pocket: Cotton 100%,Recycled cotton 20%,1008549006,006,
35,1008549001,men_jeans_regular,Regular Jeans,$ 19.99,2022-02-05 11:58:59,1008549,001,1008549008,Light denim blue,008,"The model is 188cm/6'2"" and wears a size 31/30",Regular fit,"Shell: Cotton 99%, Spandex 1%",Recycled cotton 20%,1008549006,006,
36,1008549001,men_jeans_regular,Regular Jeans,$ 19.99,2022-02-05 11:58:59,1008549,001,1008549001,Light denim blue,001,"The model is 185cm/6'1"" and wears a size 31/32",Regular fit,"Pocket lining: Polyester 65%, Cotton 35%",Recycled cotton 20%,1008549002,002,
37,1008549001,men_jeans_regular,Regular Jeans,$ 19.99,2022-02-05 11:58:59,1008549,001,1008549001,Light denim blue,001,"The model is 185cm/6'1"" and wears a size 31/32",Regular fit,"Shell: Cotton 99%, Spandex 1%",Recycled cotton 20%,1008549002,002,
38,1008549001,men_jeans_regular,Regular Jeans,$ 19.99,2022-02-05 11:58:59,1008549,001,1008549004,Dark blue,004,"The model is 185cm/6'1"" and wears a size 31/32",Regular fit,"Pocket lining: Polyester 65%, Cotton 35%",Recycled cotton 20%,1008549002,002,
39,1008549001,men_jeans_regular,Regular Jeans,$ 19.99,2022-02-05 11:58:59,1008549,001,1008549004,Dark blue,004,"The model is 185cm/6'1"" and wears a size 31/32",Regular fit,"Shell: Cotton 99%, Spandex 1%",Recycled cotton 20%,1008549002,002,
40,1008549001,men_jeans_regular,Regular Jeans,$ 19.99,2022-02-05 11:58:59,1008549,001,1008549006,Black,006,"The model is 185cm/6'1"" and wears a size 31/32",Regular fit,"Pocket lining: Polyester 65%, Cotton 35%",Recycled cotton 20%,1008549002,002,
41,1008549001,men_jeans_regular,Regular Jeans,$ 19.99,2022-02-05 11:58:59,1008549,001,1008549006,Black,006,"The model is 185cm/6'1"" and wears a size 31/32",Regular fit,"Shell: Cotton 99%, Spandex 1%",Recycled cotton 20%,1008549002,002,
42,1008549001,men_jeans_regular,Regular Jeans,$ 19.99,2022-02-05 11:58:59,1008549,001,1008549008,Light denim blue,008,"The model is 185cm/6'1"" and wears a size 31/32",Regular fit,"Pocket lining: Polyester 65%, Cotton 35%",Recycled cotton 20%,1008549002,002,
43,1008549001,men_jeans_regular,Regular Jeans,$ 19.99,2022-02-05 11:58:59,1008549,001,1008549008,Light denim blue,008,"The model is 185cm/6'1"" and wears a size 31/32",Regular fit,"Shell: Cotton 99%, Spandex 1%",Recycled cotton 20%,1008549002,002,
44,0811993040,men_jeans_regular,Regular Jeans,$ 29.99,2022-02-05 11:58:59,0811993,040,0811993001,Black/washed out,001,,Regular fit,"Cotton 98%, Spandex 2%",,0811993040,040,
45,0811993040,men_jeans_regular,Regular Jeans,$ 29.99,2022-02-05 11:58:59,0811993,040,0811993001,Black/washed out,001,,Regular fit,"Cotton 98%, Spandex 2%",,0811993040,040,"			                        ""FOR CHILD’S SAFETY, GARMENT SHOULD FIT SNUGLY. THIS GARMENT IS NOT FLAME RESISTANT. LOOSE-FITTING GARMENT IS MORE LIKELY TO CATCH FIRE."""
46,0811993040,men_jeans_regular,Regular Jeans,$ 29.99,2022-02-05 11:58:59,0811993,040,0811993002,Denim blue,002,,Regular fit,"Cotton 98%, Spandex 2%",,0811993040,040,
47,0811993040,men_jeans_regular,Regular Jeans,$ 29.99,2022-02-05 11:58:59,0811993,040,0811993002,Denim blue,002,,Regular fit,"Cotton 98%, Spandex 2%",,0811993040,040,"			                        ""FOR CHILD’S SAFETY, GARMENT SHOULD FIT SNUGLY. THIS GARMENT IS NOT FLAME RESISTANT. LOOSE-FITTING GARMENT IS MORE LIKELY TO CATCH FIRE."""
48,0811993040,men_jeans_regular,Regular Jeans,$ 29.99,2022-02-05 11:58:59,0811993,040,0811993003,Dark denim blue,003,,Regular fit,"Cotton 98%, Spandex 2%",,0811993040,040,
49,0811993040,men_jeans_regular,Regular Jeans,$ 29.99,2022-02-05 11:58:59,0811993,040,0811993003,Dark denim blue,003,,Regular fit,"Cotton 98%, Spandex 2%",,0811993040,040,"			                        ""FOR CHILD’S SAFETY, GARMENT SHOULD FIT SNUGLY. THIS GARMENT IS NOT FLAME RESISTANT. LOOSE-FITTING GARMENT IS MORE LIKELY TO CATCH FIRE."""
50,0811993040,men_jeans_regular,Regular Jeans,$ 29.99,2022-02-05 11:58:59,0811993,040,0811993006,Graphite gray,006,,Regular fit,"Cotton 98%, Spandex 2%",,0811993040,040,
51,0811993040,men_jeans_regular,Regular Jeans,$ 29.99,2022-02-05 11:58:59,0811993,040,0811993006,Graphite gray,006,,Regular fit,"Cotton 98%, Spandex 2%",,0811993040,040,"			                        ""FOR CHILD’S SAFETY, GARMENT SHOULD FIT SNUGLY. THIS GARMENT IS NOT FLAME RESISTANT. LOOSE-FITTING GARMENT IS MORE LIKELY TO CATCH FIRE."""
52,0811993040,men_jeans_regular,Regular Jeans,$ 29.99,2022-02-05 11:58:59,0811993,040,0811993007,Light denim blue,007,,Regular fit,"Cotton 98%, Spandex 2%",,0811993040,040,
53,0811993040,men_jeans_regular,Regular Jeans,$ 29.99,2022-02-05 11:58:59,0811993,040,0811993007,Light denim blue,007,,Regular fit,"Cotton 98%, Spandex 2%",,0811993040,040,"			                        ""FOR CHILD’S SAFETY, GARMENT SHOULD FIT SNUGLY. THIS GARMENT IS NOT FLAME RESISTANT. LOOSE-FITTING GARMENT IS MORE LIKELY TO CATCH FIRE."""
54,0811993040,men_jeans_regular,Regular Jeans,$ 29.99,2022-02-05 11:58:59,0811993,040,0811993021,Black,021,,Regular fit,"Cotton 98%, Spandex 2%",,0811993040,040,
55,0811993040,men_jeans_regular,Regular Jeans,$ 29.99,2022-02-05 11:58:59,0811993,040,0811993021,Black,021,,Regular fit,"Cotton 98%, Spandex 2%",,0811993040,040,"			                        ""FOR CHILD’S SAFETY, GARMENT SHOULD FIT SNUGLY. THIS GARMENT IS NOT FLAME RESISTANT. LOOSE-FITTING GARMENT IS MORE LIKELY TO CATCH FIRE."""
56,0811993040,men_jeans_regular,Regular Jeans,$ 29.99,2022-02-05 11:58:59,0811993,040,0811993022,Cream,022,,Regular fit,"Cotton 98%, Spandex 2%",,0811993040,040,
57,0811993040,men_jeans_regular,Regular Jeans,$ 29.99,2022-02-05 11:58:59,0811993,040,0811993022,Cream,022,,Regular fit,"Cotton 98%, Spandex 2%",,0811993040,040,"			                        ""FOR CHILD’S SAFETY, GARMENT SHOULD FIT SNUGLY. THIS GARMENT IS NOT FLAME RESISTANT. LOOSE-FITTING GARMENT IS MORE LIKELY TO CATCH FIRE."""
58,0811993040,men_jeans_regular,Regular Jeans,$ 29.99,2022-02-05 11:58:59,0811993,040,0811993024,Denim blue,024,,Regular fit,"Cotton 98%, Spandex 2%",,0811993040,040,
59,0811993040,men_jeans_regular,Regular Jeans,$ 29.99,2022-02-05 11:58:59,0811993,040,0811993024,Denim blue,024,,Regular fit,"Cotton 98%, Spandex 2%",,0811993040,040,"			                        ""FOR CHILD’S SAFETY, GARMENT SHOULD FIT SNUGLY. THIS GARMENT IS NOT FLAME RESISTANT. LOOSE-FITTING GARMENT IS MORE LIKELY TO CATCH FIRE."""
60,0811993040,men_jeans_regular,Regular Jeans,$ 29.99,2022-02-05 11:58:59,0811993,040,0811993025,Light blue,025,,Regular fit,"Cotton 98%, Spandex 2%",,0811993040,040,
